CMDLINE python main_subclass.py
MEM 748.902344 1732918849.4149
MEM 748.902344 1732918849.5289
MEM 748.902344 1732918849.6426
MEM 748.902344 1732918849.7564
MEM 748.902344 1732918849.8704
MEM 748.902344 1732918849.9874
MEM 748.902344 1732918850.1016
MEM 748.902344 1732918850.2156
MEM 748.902344 1732918850.3305
MEM 748.902344 1732918850.4445
MEM 748.902344 1732918850.5585
MEM 748.902344 1732918850.6724
MEM 748.902344 1732918850.7867
MEM 748.902344 1732918850.9006
MEM 748.902344 1732918851.0145
MEM 748.902344 1732918851.1286
MEM 748.949219 1732918851.2443
MEM 749.277344 1732918851.3587
MEM 750.968750 1732918851.4727
MEM 754.101562 1732918851.5869
MEM 775.457031 1732918851.7012
MEM 803.816406 1732918851.8157
MEM 827.250000 1732918851.9300
MEM 832.777344 1732918852.0441
MEM 833.035156 1732918852.1585
MEM 833.035156 1732918852.2726
MEM 833.035156 1732918852.3905
MEM 833.292969 1732918852.5068
MEM 833.292969 1732918852.6209
MEM 833.292969 1732918852.7349
MEM 833.292969 1732918852.8489
MEM 833.292969 1732918852.9633
MEM 833.292969 1732918853.0775
MEM 833.292969 1732918853.1917
MEM 833.292969 1732918853.3056
MEM 833.292969 1732918853.4194
MEM 833.808594 1732918853.5338
MEM 833.808594 1732918853.6484
MEM 849.082031 1732918853.7631
MEM 880.695312 1732918853.8773
MEM 912.917969 1732918853.9920
MEM 942.917969 1732918854.1065
MEM 974.917969 1732918854.2205
MEM 1006.917969 1732918854.3346
MEM 1038.917969 1732918854.4489
MEM 1068.917969 1732918854.5634
MEM 1100.917969 1732918854.6784
MEM 1132.917969 1732918854.7925
MEM 1160.917969 1732918854.9079
MEM 1186.917969 1732918855.0288
MEM 1214.917969 1732918855.1515
MEM 1244.917969 1732918855.2683
MEM 1266.917969 1732918855.3824
MEM 1282.917969 1732918855.4963
MEM 1298.917969 1732918855.6102
MEM 1320.917969 1732918855.7241
MEM 1320.917969 1732918855.8380
MEM 1320.917969 1732918855.9520
MEM 1320.917969 1732918856.0663
MEM 1320.917969 1732918856.1804
MEM 861.332031 1732918856.2944
MEM 929.386719 1732918856.4090
MEM 977.796875 1732918856.5235
MEM 1060.812500 1732918856.6378
MEM 1155.875000 1732918856.7544
MEM 1232.339844 1732918856.8687
MEM 1327.328125 1732918856.9855
MEM 1406.644531 1732918857.1041
MEM 1510.234375 1732918857.2211
MEM 1595.980469 1732918857.3389
MEM 1675.800781 1732918857.4560
MEM 1745.683594 1732918857.5723
MEM 1874.183594 1732918857.6904
MEM 1871.105469 1732918857.8047
MEM 1932.050781 1732918857.9190
MEM 1976.679688 1732918858.0336
MEM 2023.203125 1732918858.1480
MEM 2092.011719 1732918858.2622
MEM 2138.562500 1732918858.3760
MEM 2171.789062 1732918858.4901
MEM 2224.867188 1732918858.6041
MEM 2278.460938 1732918858.7180
MEM 2332.312500 1732918858.8318
MEM 2384.875000 1732918858.9460
MEM 2440.273438 1732918859.0658
MEM 2507.101562 1732918859.1800
MEM 2581.242188 1732918859.2940
MEM 2613.242188 1732918859.4082
MEM 2613.242188 1732918859.5226
MEM 2613.242188 1732918859.6365
MEM 2613.242188 1732918859.7507
MEM 2616.675781 1732918859.8647
MEM 2670.023438 1732918859.9842
MEM 2722.132812 1732918860.0989
MEM 2772.191406 1732918860.2130
MEM 2824.375000 1732918860.3269
MEM 2875.328125 1732918860.4410
MEM 2928.621094 1732918860.5573
MEM 2978.339844 1732918860.6713
MEM 3028.140625 1732918860.7855
MEM 3062.644531 1732918860.9015
MEM 3062.644531 1732918861.0166
MEM 3062.644531 1732918861.1306
MEM 3062.703125 1732918861.2558
MEM 3062.703125 1732918861.3705
MEM 3062.871094 1732918861.4880
MEM 3062.875000 1732918861.6019
MEM 3062.875000 1732918861.7166
MEM 3062.875000 1732918861.8317
MEM 3062.875000 1732918861.9465
MEM 2911.429688 1732918862.0610
MEM 2911.429688 1732918862.1753
MEM 2918.898438 1732918862.2894
MEM 2919.414062 1732918862.4039
MEM 2920.984375 1732918862.5193
MEM 2922.332031 1732918862.6336
MEM 2922.566406 1732918862.7508
MEM 2922.566406 1732918862.8649
MEM 2922.566406 1732918862.9788
MEM 2922.566406 1732918863.0926
MEM 2922.566406 1732918863.2075
MEM 2922.566406 1732918863.3219
MEM 2922.566406 1732918863.4360
MEM 2922.566406 1732918863.5502
MEM 2922.566406 1732918863.6640
MEM 2922.566406 1732918863.7783
MEM 2922.566406 1732918863.8923
MEM 2922.566406 1732918864.0059
MEM 2922.566406 1732918864.1198
MEM 2922.566406 1732918864.2340
MEM 2922.566406 1732918864.3480
MEM 2922.566406 1732918864.4618
MEM 2922.566406 1732918864.5760
MEM 2922.566406 1732918864.6900
MEM 2922.566406 1732918864.8038
MEM 2922.566406 1732918864.9176
MEM 2922.566406 1732918865.0321
MEM 2922.566406 1732918865.1464
MEM 2922.566406 1732918865.2605
MEM 2922.566406 1732918865.3742
MEM 2922.566406 1732918865.4884
MEM 2922.566406 1732918865.6027
MEM 2922.566406 1732918865.7166
MEM 2922.566406 1732918865.8305
MEM 2922.566406 1732918865.9444
MEM 2922.566406 1732918866.0600
MEM 2922.566406 1732918866.1746
MEM 2927.046875 1732918866.2891
MEM 2954.789062 1732918866.4036
MEM 2979.527344 1732918866.5177
MEM 2999.910156 1732918866.6317
MEM 3024.679688 1732918866.7461
MEM 3054.066406 1732918866.8663
MEM 3070.210938 1732918866.9812
MEM 3109.781250 1732918867.1003
MEM 3137.855469 1732918867.2147
MEM 3165.562500 1732918867.3287
MEM 3259.843750 1732918867.4491
MEM 3325.683594 1732918867.5641
MEM 3383.941406 1732918867.6806
MEM 3435.878906 1732918867.7945
MEM 3499.949219 1732918867.9084
MEM 3567.785156 1732918868.0241
MEM 3648.808594 1732918868.1386
MEM 3694.085938 1732918868.2525
MEM 3762.292969 1732918868.3679
MEM 3805.687500 1732918868.4844
MEM 3879.824219 1732918868.6065
MEM 3937.308594 1732918868.7202
MEM 3997.324219 1732918868.8339
MEM 4012.199219 1732918868.9476
MEM 4023.312500 1732918869.0610
MEM 4023.824219 1732918869.1833
MEM 4026.332031 1732918869.2967
MEM 4036.699219 1732918869.4101
MEM 4126.542969 1732918869.5241
MEM 4182.175781 1732918869.6376
MEM 4251.460938 1732918869.7548
MEM 4291.230469 1732918869.8688
MEM 4387.285156 1732918869.9825
MEM 4466.992188 1732918870.0959
MEM 4569.863281 1732918870.2095
MEM 4646.304688 1732918870.3232
MEM 4746.886719 1732918870.4367
MEM 4839.015625 1732918870.5500
MEM 4915.316406 1732918870.6640
MEM 5005.246094 1732918870.7782
MEM 5094.371094 1732918870.8919
MEM 5185.960938 1732918871.0053
MEM 5279.359375 1732918871.1195
MEM 5366.984375 1732918871.2334
MEM 5440.589844 1732918871.3513
MEM 5523.871094 1732918871.4649
MEM 5534.824219 1732918871.5781
MEM 5547.714844 1732918871.6933
MEM 5560.679688 1732918871.8065
MEM 5590.214844 1732918871.9204
MEM 5610.070312 1732918872.0339
MEM 5612.644531 1732918872.1477
MEM 5612.644531 1732918872.2649
MEM 5627.535156 1732918872.3801
MEM 5655.058594 1732918872.5061
MEM 5673.949219 1732918872.6215
MEM 5689.949219 1732918872.7430
MEM 5705.949219 1732918872.8560
MEM 5721.949219 1732918872.9691
MEM 5763.019531 1732918873.0866
MEM 5781.144531 1732918873.1998
MEM 5781.640625 1732918873.3129
MEM 5781.640625 1732918873.4261
MEM 5679.125000 1732918873.5391
MEM 5679.125000 1732918873.6525
MEM 5679.125000 1732918873.7665
MEM 5679.253906 1732918873.8800
MEM 5679.253906 1732918873.9931
MEM 5679.253906 1732918874.1064
MEM 5679.253906 1732918874.2199
MEM 5679.253906 1732918874.3332
MEM 5679.253906 1732918874.4464
MEM 5679.253906 1732918874.5597
MEM 5679.253906 1732918874.6729
MEM 5679.382812 1732918874.7860
MEM 5679.382812 1732918874.8994
MEM 5679.382812 1732918875.0127
MEM 5679.382812 1732918875.1271
MEM 5679.382812 1732918875.2403
MEM 5679.382812 1732918875.3533
MEM 5679.382812 1732918875.4663
MEM 5679.382812 1732918875.5794
MEM 5679.511719 1732918875.6925
MEM 5679.511719 1732918875.8056
MEM 5679.511719 1732918875.9201
MEM 5679.511719 1732918876.0332
MEM 5679.511719 1732918876.1464
MEM 5679.511719 1732918876.2605
MEM 5679.511719 1732918876.3743
MEM 5679.511719 1732918876.4881
MEM 5679.644531 1732918876.6018
MEM 5679.644531 1732918876.7156
MEM 5679.644531 1732918876.8297
MEM 5679.644531 1732918876.9441
MEM 5679.644531 1732918877.0579
MEM 5679.644531 1732918877.1718
MEM 5679.644531 1732918877.2860
MEM 5679.644531 1732918877.3999
MEM 5679.773438 1732918877.5135
MEM 5679.773438 1732918877.6272
MEM 5679.773438 1732918877.7414
MEM 5679.773438 1732918877.8605
MEM 5679.773438 1732918877.9779
MEM 5679.773438 1732918878.0918
MEM 5679.773438 1732918878.2060
MEM 5679.902344 1732918878.3211
MEM 5679.902344 1732918878.4364
MEM 5679.902344 1732918878.5503
MEM 5679.902344 1732918878.6649
MEM 5679.902344 1732918878.7789
MEM 5679.902344 1732918878.8936
MEM 5679.902344 1732918879.0075
MEM 5679.902344 1732918879.1217
MEM 5680.035156 1732918879.2376
MEM 5680.035156 1732918879.3517
MEM 5680.035156 1732918879.4706
MEM 5680.035156 1732918879.5878
MEM 5680.035156 1732918879.7020
MEM 5680.035156 1732918879.8183
MEM 5680.035156 1732918879.9325
MEM 5680.035156 1732918880.0466
MEM 5680.164062 1732918880.1606
MEM 5680.164062 1732918880.2746
MEM 5680.164062 1732918880.3890
MEM 5680.164062 1732918880.5029
MEM 5680.164062 1732918880.6167
MEM 5680.164062 1732918880.7309
MEM 5680.164062 1732918880.8446
MEM 5680.292969 1732918880.9586
MEM 5680.292969 1732918881.0726
MEM 5680.292969 1732918881.1872
MEM 5680.292969 1732918881.3012
MEM 5680.292969 1732918881.4177
MEM 5680.292969 1732918881.5318
MEM 5680.292969 1732918881.6456
MEM 5680.292969 1732918881.7663
MEM 5680.421875 1732918881.9127
MEM 5680.457031 1732918882.0267
MEM 5680.457031 1732918882.1407
MEM 5680.457031 1732918882.2553
MEM 5680.457031 1732918882.3693
MEM 5680.457031 1732918882.4835
MEM 5680.457031 1732918882.5981
MEM 5680.589844 1732918882.7122
MEM 5680.589844 1732918882.8267
MEM 5680.589844 1732918882.9403
MEM 5680.589844 1732918883.0541
MEM 5680.589844 1732918883.1767
MEM 5680.589844 1732918883.2969
MEM 5680.589844 1732918883.4175
MEM 5680.589844 1732918883.5319
MEM 5680.718750 1732918883.6460
MEM 5680.718750 1732918883.7608
MEM 5680.718750 1732918883.8759
MEM 5680.718750 1732918883.9903
MEM 5680.718750 1732918884.1053
MEM 5680.718750 1732918884.2189
MEM 5680.718750 1732918884.3325
MEM 5680.718750 1732918884.4462
MEM 5680.847656 1732918884.5611
MEM 5680.847656 1732918884.6748
MEM 5680.847656 1732918884.7909
MEM 5680.847656 1732918884.9048
MEM 5680.847656 1732918885.0190
MEM 5680.847656 1732918885.1334
MEM 5680.847656 1732918885.2472
MEM 5680.976562 1732918885.3607
MEM 5680.976562 1732918885.4755
MEM 5680.976562 1732918885.5894
MEM 5680.976562 1732918885.7031
MEM 5680.976562 1732918885.8168
MEM 5680.976562 1732918885.9309
MEM 5680.976562 1732918886.0449
MEM 5680.976562 1732918886.1586
MEM 5681.109375 1732918886.2723
MEM 5681.109375 1732918886.3862
MEM 5681.109375 1732918886.5001
MEM 5681.109375 1732918886.6141
MEM 5681.109375 1732918886.7280
MEM 5681.109375 1732918886.8419
MEM 5681.109375 1732918886.9566
MEM 5681.109375 1732918887.0711
MEM 5681.238281 1732918887.1850
MEM 5681.238281 1732918887.2990
MEM 5681.238281 1732918887.4132
MEM 5681.238281 1732918887.5270
MEM 5681.238281 1732918887.6407
MEM 5681.238281 1732918887.7552
MEM 5681.238281 1732918887.8690
MEM 5681.238281 1732918887.9845
MEM 5681.367188 1732918888.0982
MEM 5681.367188 1732918888.2121
MEM 5681.367188 1732918888.3261
MEM 5681.367188 1732918888.4396
MEM 5681.367188 1732918888.5544
MEM 5681.367188 1732918888.6681
MEM 5681.367188 1732918888.7820
MEM 5681.496094 1732918888.8956
MEM 5681.496094 1732918889.0124
MEM 5681.496094 1732918889.1296
MEM 5681.496094 1732918889.2457
MEM 5681.496094 1732918889.3603
MEM 5681.496094 1732918889.4747
MEM 5681.496094 1732918889.5891
MEM 5681.496094 1732918889.7031
MEM 5681.628906 1732918889.8174
MEM 5681.628906 1732918889.9316
MEM 5681.628906 1732918890.0462
MEM 5681.628906 1732918890.1604
MEM 5681.628906 1732918890.2747
MEM 5681.628906 1732918890.3891
MEM 5681.628906 1732918890.5032
MEM 5681.757812 1732918890.6186
MEM 5681.757812 1732918890.7324
MEM 5681.757812 1732918890.8468
MEM 5681.757812 1732918890.9607
MEM 5681.757812 1732918891.0749
MEM 5681.757812 1732918891.1901
MEM 5681.757812 1732918891.3047
MEM 5681.757812 1732918891.4192
MEM 5681.886719 1732918891.5343
MEM 5681.886719 1732918891.6487
MEM 5681.886719 1732918891.7630
MEM 5681.886719 1732918891.8777
MEM 5681.886719 1732918891.9929
MEM 5681.886719 1732918892.1071
MEM 5681.886719 1732918892.2212
MEM 5681.886719 1732918892.3363
MEM 5682.015625 1732918892.4508
MEM 5682.015625 1732918892.5708
MEM 5682.015625 1732918892.6908
MEM 5682.015625 1732918892.8123
MEM 5691.039062 1732918892.9336
MEM 5691.039062 1732918893.0524
MEM 5691.039062 1732918893.1672
MEM 5691.171875 1732918893.2818
MEM 5691.171875 1732918893.3997
MEM 5691.171875 1732918893.5176
MEM 5691.171875 1732918893.6376
MEM 5691.171875 1732918893.7529
MEM 5691.171875 1732918893.8702
MEM 5691.171875 1732918893.9845
MEM 5691.171875 1732918894.1014
MEM 5691.171875 1732918894.2178
MEM 5691.171875 1732918894.3321
MEM 5691.171875 1732918894.4462
MEM 5691.171875 1732918894.5626
MEM 5691.171875 1732918894.6769
MEM 5691.171875 1732918894.7914
MEM 5691.171875 1732918894.9074
MEM 5691.171875 1732918895.0213
MEM 5691.171875 1732918895.1359
MEM 5691.171875 1732918895.2503
MEM 5691.171875 1732918895.3643
MEM 5691.171875 1732918895.4785
MEM 5691.171875 1732918895.5929
MEM 5691.171875 1732918895.7119
MEM 5691.171875 1732918895.8283
MEM 5691.171875 1732918895.9414
MEM 5691.171875 1732918896.0578
MEM 5691.171875 1732918896.1716
MEM 5691.171875 1732918896.2864
MEM 5691.171875 1732918896.4008
MEM 5691.171875 1732918896.5155
MEM 5691.171875 1732918896.6288
MEM 5691.171875 1732918896.7425
MEM 5691.171875 1732918896.8555
MEM 5691.171875 1732918896.9697
MEM 5691.171875 1732918897.0830
MEM 5691.359375 1732918897.1976
MEM 5691.359375 1732918897.3132
MEM 5691.359375 1732918897.4314
MEM 5691.359375 1732918897.5488
MEM 5691.359375 1732918897.6659
MEM 5691.359375 1732918897.7831
MEM 5691.359375 1732918897.8997
MEM 5691.359375 1732918898.0151
MEM 5691.359375 1732918898.1305
MEM 5691.359375 1732918898.2463
MEM 5691.359375 1732918898.3622
MEM 5691.359375 1732918898.4803
MEM 5691.359375 1732918898.5969
MEM 5691.359375 1732918898.7132
MEM 5691.359375 1732918898.8264
MEM 5691.359375 1732918898.9397
MEM 5691.359375 1732918899.0527
MEM 5691.359375 1732918899.1662
MEM 5691.359375 1732918899.2793
MEM 5691.359375 1732918899.3924
MEM 5691.359375 1732918899.5062
MEM 5691.359375 1732918899.6196
MEM 5691.359375 1732918899.7326
MEM 5691.359375 1732918899.8458
MEM 5691.359375 1732918899.9592
MEM 5691.359375 1732918900.0728
MEM 5691.359375 1732918900.1861
MEM 5691.359375 1732918900.2993
MEM 5691.359375 1732918900.4126
MEM 5691.359375 1732918900.5259
MEM 5691.359375 1732918900.6392
MEM 5691.359375 1732918900.7564
MEM 5691.359375 1732918900.8831
MEM 5691.359375 1732918901.0054
MEM 5691.359375 1732918901.1311
MEM 5691.359375 1732918901.2534
MEM 5691.359375 1732918901.3728
MEM 5691.359375 1732918901.4867
MEM 5691.359375 1732918901.5999
MEM 5691.359375 1732918901.7129
MEM 5691.359375 1732918901.8270
MEM 5691.359375 1732918901.9406
MEM 5691.359375 1732918902.0541
MEM 5691.359375 1732918902.1674
MEM 5709.468750 1732918902.2909
MEM 5731.804688 1732918902.4041
MEM 5731.878906 1732918902.5171
MEM 5731.878906 1732918902.6317
MEM 5731.878906 1732918902.7486
MEM 5731.878906 1732918902.8639
MEM 5731.878906 1732918902.9776
MEM 5731.878906 1732918903.0919
MEM 5731.878906 1732918903.2065
MEM 5731.878906 1732918903.3206
MEM 5731.878906 1732918903.4355
MEM 5731.878906 1732918903.5512
MEM 5731.878906 1732918903.6658
MEM 5731.878906 1732918903.7802
MEM 5731.878906 1732918903.8947
MEM 5731.878906 1732918904.0091
MEM 5731.878906 1732918904.1231
MEM 5731.878906 1732918904.2367
MEM 5731.878906 1732918904.3511
MEM 5732.136719 1732918904.4654
MEM 5732.136719 1732918904.5794
MEM 5732.136719 1732918904.6940
MEM 5732.136719 1732918904.8083
MEM 5732.136719 1732918904.9229
MEM 5732.136719 1732918905.0391
MEM 5732.136719 1732918905.1543
MEM 5732.136719 1732918905.2679
MEM 5732.136719 1732918905.3828
MEM 5732.136719 1732918905.4969
MEM 5732.136719 1732918905.6158
MEM 5732.136719 1732918905.7336
MEM 5732.136719 1732918905.8509
MEM 5732.136719 1732918905.9663
MEM 5732.136719 1732918906.0810
MEM 5732.136719 1732918906.1963
MEM 5732.136719 1732918906.3103
MEM 5732.136719 1732918906.4246
MEM 5732.136719 1732918906.5389
MEM 5732.136719 1732918906.6527
MEM 5732.136719 1732918906.7670
MEM 5732.136719 1732918906.8810
MEM 5732.136719 1732918906.9956
MEM 5732.136719 1732918907.1101
MEM 5732.136719 1732918907.2239
MEM 5732.136719 1732918907.3381
MEM 5732.136719 1732918907.4520
MEM 5732.136719 1732918907.5693
MEM 5732.136719 1732918907.6871
MEM 5732.136719 1732918907.8010
MEM 5732.136719 1732918907.9153
MEM 5732.136719 1732918908.0296
MEM 5732.136719 1732918908.1435
MEM 5732.136719 1732918908.2573
MEM 5732.136719 1732918908.3715
MEM 5732.136719 1732918908.4854
MEM 5732.136719 1732918908.5997
MEM 5732.136719 1732918908.7141
MEM 5732.136719 1732918908.8282
MEM 5732.136719 1732918908.9420
MEM 5732.136719 1732918909.0558
MEM 5732.136719 1732918909.1698
MEM 5732.136719 1732918909.2838
MEM 5732.136719 1732918909.3982
MEM 5732.136719 1732918909.5136
MEM 5732.136719 1732918909.6302
MEM 5732.136719 1732918909.7441
MEM 5732.136719 1732918909.8627
MEM 5732.136719 1732918909.9801
MEM 5732.136719 1732918910.0956
MEM 5732.136719 1732918910.2163
MEM 5732.136719 1732918910.3302
MEM 5732.136719 1732918910.4443
MEM 5732.136719 1732918910.5580
MEM 5732.136719 1732918910.6722
MEM 5732.136719 1732918910.7861
MEM 5732.136719 1732918910.9002
MEM 5732.136719 1732918911.0143
MEM 5732.136719 1732918911.1283
MEM 5732.136719 1732918911.2426
MEM 5732.136719 1732918911.3566
MEM 5732.136719 1732918911.4705
MEM 5732.136719 1732918911.5842
MEM 5732.394531 1732918911.6990
MEM 5732.394531 1732918911.8133
MEM 5732.394531 1732918911.9268
MEM 5732.394531 1732918912.0408
MEM 5732.394531 1732918912.1553
MEM 5732.394531 1732918912.2693
MEM 5732.394531 1732918912.3834
MEM 5732.394531 1732918912.4974
MEM 5732.394531 1732918912.6119
MEM 5732.394531 1732918912.7259
MEM 5732.394531 1732918912.8397
MEM 5732.394531 1732918912.9537
MEM 5732.394531 1732918913.0681
MEM 5732.394531 1732918913.1830
MEM 5732.394531 1732918913.2968
MEM 5732.394531 1732918913.4118
MEM 5732.394531 1732918913.5260
MEM 5732.394531 1732918913.6398
MEM 5732.394531 1732918913.7536
MEM 5732.394531 1732918913.8677
MEM 5732.394531 1732918913.9820
MEM 5228.777344 1732918914.0959
MEM 16.558594 1732918914.2153
MEM 16.558594 1732918914.3291
MEM 16.558594 1732918914.4441
MEM 16.558594 1732918914.5602
